Fecha,Mes,Derivex_Max,Derivex_Min
2013-09,2014-11,131.6,124.0
2013-09,2014-12,133.5,123.8
2013-09,2015-01,147.7,135.0
2013-09,2015-02,161.7,135.0
2013-10,2013-10,200.0,137.35
2013-10,2013-11,182.0,136.63
2013-10,2013-12,170.0,139.6
2013-10,2014-01,162.5,142.82
2013-10,2014-02,160.43,149.33
2013-10,2014-03,165.41,147.26
2013-10,2014-04,145.93,134.26
2013-10,2014-05,128.0,115.0
2013-10,2014-06,125.0,115.0
2013-10,2014-07,122.66,113.04
2013-10,2014-08,123.14,110.0
2013-10,2014-09,123.31,116.89
2013-10,2014-10,131.99,124.51
2013-10,2014-11,129.01,121.27
2013-10,2014-12,133.24,124.51
2013-10,2015-01,151.78,136.79
2013-10,2015-02,159.54,136.79
2013-10,2015-03,149.83,132.75
2013-11,2013-11,219.5,182.0
2013-11,2013-12,220.0,185.0
2013-11,2014-01,167.5,145.99
2013-11,2014-02,167.78,159.78
2013-11,2014-03,166.21,160.0
2013-11,2014-04,150.0,142.86
2013-11,2014-05,130.0,115.84
2013-11,2014-06,122.72,115.0
2013-11,2014-07,122.66,114.11
2013-11,2014-08,127.16,117.44
2013-11,2014-09,125.2,120.0
2013-11,2014-10,137.35,130.0
2013-11,2014-11,132.41,126.0
2013-11,2014-12,132.41,126.0
2013-11,2015-01,134.79,127.48
2013-11,2015-02,144.72,129.29
2013-11,2015-03,144.72,129.29
2013-11,2015-04,131.0,128.0
2013-12,2013-12,238.26,177.66
2013-12,2014-01,185.0,150.0
2013-12,2014-02,191.36,161.87
2013-12,2014-03,176.0,158.97
2013-12,2014-04,160.14,146.86
2013-12,2014-05,150.0,129.92
2013-12,2014-06,140.0,120.0
2013-12,2014-07,134.89,121.31
2013-12,2014-08,134.28,124.08
2013-12,2014-09,149.55,132.21
2013-12,2014-10,150.0,135.3
2013-12,2014-11,150.0,126.0
2013-12,2014-12,151.22,127.43
2013-12,2015-01,151.22,127.43
2013-12,2015-02,151.22,129.02
2013-12,2015-03,157.25,126.56
2013-12,2015-04,157.25,126.56
2013-12,2015-05,157.25,128.38
2014-01,2014-01,185.0,157.0
2014-01,2014-02,192.22,175.0
2014-01,2014-03,182.0,170.0
2014-01,2014-04,170.0,158.0
2014-01,2014-05,150.0,135.0
2014-01,2014-06,132.39,127.5
2014-01,2014-07,128.0,122.62
2014-01,2014-08,137.62,127.16
2014-01,2014-09,150.0,133.61
2014-01,2014-10,154.17,141.36
2014-01,2014-11,137.59,126.27
2014-01,2014-12,152.0,138.87
2014-01,2015-01,170.99,150.0
2014-01,2015-02,170.99,150.0
2014-01,2015-03,170.99,150.0
2014-01,2015-04,157.94,133.22
2014-01,2015-05,157.94,133.22
2014-01,2015-06,157.94,130.0
2014-02,2014-02,195.69,184.63
2014-02,2014-03,184.5,180.0
2014-02,2014-04,164.44,158.22
2014-02,2014-05,144.73,133.75
2014-02,2014-06,133.63,124.94
2014-02,2014-07,131.79,124.23
2014-02,2014-08,140.0,131.8
2014-02,2014-09,150.74,142.21
2014-02,2014-10,153.65,144.52
2014-02,2014-11,143.26,130.3
2014-02,2014-12,156.65,142.52
2014-02,2015-01,163.29,149.33
2014-02,2015-02,170.0,153.35
2014-02,2015-03,170.0,153.35
2014-02,2015-04,170.0,153.35
2014-02,2015-05,146.11,134.36
2014-02,2015-06,146.11,134.36
2014-02,2015-07,146.11,132.72
2014-03,2014-03,179.0,151.86
2014-03,2014-04,160.2,154.0
2014-03,2014-05,145.0,133.75
2014-03,2014-06,142.0,127.33
2014-03,2014-07,129.65,126.61
2014-03,2014-08,136.75,132.27
2014-03,2014-09,145.0,139.11
2014-03,2014-10,155.0,149.8
2014-03,2014-11,146.05,136.11
2014-03,2014-12,155.0,150.0
2014-03,2015-01,166.11,150.73
2014-03,2015-02,176.04,162.69
2014-03,2015-03,163.76,146.15
2014-03,2015-04,163.76,146.15
2014-03,2015-05,154.64,146.15
2014-03,2015-06,139.7,130.0
2014-03,2015-07,139.7,130.0
2014-03,2015-08,135.0,130.0
2014-04,2014-04,367.28,155.0
2014-04,2014-05,197.5,145.37
2014-04,2014-06,170.0,136.49
2014-04,2014-07,151.5,125.21
2014-04,2014-08,151.77,129.54
2014-04,2014-09,160.0,142.21
2014-04,2014-10,172.51,147.85
2014-04,2014-11,170.0,137.88
2014-04,2014-12,176.0,149.22
2014-04,2015-01,177.5,160.0
2014-04,2015-02,180.0,163.21
2014-04,2015-03,177.0,153.45
2014-04,2015-04,154.15,137.64
2014-04,2015-05,154.15,137.64
2014-04,2015-06,154.15,134.02
2014-04,2015-07,137.1,129.29
2014-04,2015-08,137.1,129.29
2014-04,2015-09,137.1,131.35
2014-05,2014-05,395.22,217.46
2014-05,2014-06,275.0,165.0
2014-05,2014-07,223.32,150.0
2014-05,2014-08,235.0,152.61
2014-05,2014-09,235.48,155.19
2014-05,2014-10,289.33,169.9
2014-05,2014-11,286.01,160.0
2014-05,2014-12,286.21,174.0
2014-05,2015-01,269.9,177.65
2014-05,2015-02,266.25,177.21
2014-05,2015-03,262.7,176.06
2014-05,2015-04,178.82,158.2
2014-05,2015-05,174.28,150.0
2014-05,2015-06,174.28,150.0
2014-05,2015-07,174.28,150.0
2014-05,2015-08,167.15,150.0
2014-05,2015-09,167.15,150.0
2014-05,2015-10, 167.15   , 142.50   
2014-06,2014-06,389.38,306.0
2014-06,2014-07,250.0,231.19
2014-06,2014-08,230.0,190.0
2014-06,2014-09,233.37,192.61
2014-06,2014-10,217.21,191.4
2014-06,2014-11,225.86,187.93
2014-06,2014-12,254.26,190.0
2014-06,2015-01,223.46,185.0
2014-06,2015-02,234.98,188.0
2014-06,2015-03,235.99,181.98
2014-06,2015-04,215.66,178.66
